method,seed,num_circles,budget,length,risk,elapsed,ts
visibility,22,6,800,900.0466298867351,223.6191339365996,13.39016604423523,1701894401.388362
partition_optimal,22,6,800,900.199365314736,220.67374610292651,0.7584397792816162,1701894402.147265
partition_radius,22,6,800,900.1401782055299,221.29176254327925,0.264890193939209,1701894402.4121642
partition_st,22,6,800,917.3782455255191,249.4529498065081,0.4556260108947754,1701894402.867796
visibility,22,6,900,900.0466298867351,223.6191339365996,13.756640911102295,1701894416.62445
partition_optimal,22,6,900,900.199365314736,220.67374610292651,0.7599518299102783,1701894417.3848782
partition_radius,22,6,900,900.1401782055299,221.29176254327925,0.2629868984222412,1701894417.64787
partition_st,22,6,900,917.1412428877577,256.8436012802528,0.4890921115875244,1701894418.136966
visibility,22,6,1000,900.0466298867351,223.6191339365996,14.249150276184082,1701894432.386134
partition_optimal,22,6,1000,900.199365314736,220.67374610292651,0.7577121257781982,1701894433.144366
partition_radius,22,6,1000,900.1401782055299,221.29176254327925,0.26495790481567383,1701894433.409329
partition_st,22,6,1000,916.8676557818878,264.1902021612948,0.5225620269775391,1701894433.931895
visibility,23,6,0,1051.567154383976,0.00010515671543839759,9.904953956604004,1701894443.837427
partition_optimal,23,6,0,908.2503505355752,0.0,0.5186829566955566,1701894444.357057
partition_radius,23,6,0,908.2503505355752,0.0,0.5157749652862549,1701894444.8728378
partition_st,23,6,0,908.2503505355752,0.0,0.6204133033752441,1701894445.493262
visibility,23,6,100,903.8275042651904,74.18204760115228,10.200247049331665,1701894455.693517
partition_optimal,23,6,100,904.4742133610251,73.91123105792481,0.7708032131195068,1701894456.46503
partition_radius,23,6,100,905.8016879574939,35.223836626073634,0.5392341613769531,1701894457.0042691
partition_st,23,6,100,906.2089421772739,19.6722908074159,0.5401949882507324,1701894457.5444689
visibility,23,6,200,900.0570722836474,187.62978734138923,10.923921823501587,1701894468.4684029
partition_optimal,23,6,200,900.2895908398043,186.39200800277013,1.0280110836029053,1701894469.496999
partition_radius,23,6,200,905.3171079654277,70.8202155086095,0.6919081211090088,1701894470.1889138
partition_st,23,6,200,905.8321400282542,39.45959904633926,0.6530139446258545,1701894470.841934
visibility,23,6,300,900.0561034764067,208.69954211903422,11.339202165603638,1701894482.181149
partition_optimal,23,6,300,900.2895908398043,186.39200800277013,1.0493619441986084,1701894483.2311392
partition_radius,23,6,300,904.5625130282386,105.64640006606794,0.9935653209686279,1701894484.224714
partition_st,23,6,300,905.6280343039874,54.782427389737485,0.7712068557739258,1701894484.995928
visibility,23,6,400,900.0561034764067,208.69954211903422,11.97248387336731,1701894496.968425
partition_optimal,23,6,400,900.2895908398043,186.39200800277013,1.063173770904541,1701894498.032268
partition_radius,23,6,400,903.8324335738988,122.65030700034947,1.3651909828186035,1701894499.397471
partition_st,23,6,400,905.5832021129328,54.782427389737485,0.8594160079956055,1701894500.256893
visibility,23,6,500,900.0561034764067,208.69954211903422,12.255877017974854,1701894512.512783
partition_optimal,23,6,500,900.2895908398043,186.39200800277013,1.0507051944732666,1701894513.564157
partition_radius,23,6,500,902.5969283831035,131.9055886683617,1.6532061100006104,1701894515.217369
partition_st,23,6,500,905.425376702544,66.48606300130191,0.8923680782318115,1701894516.109743
visibility,23,6,600,900.0561034764067,208.69954211903422,12.795114040374756,1701894528.904876
partition_optimal,23,6,600,900.2895908398043,186.39200800277013,1.0509979724884033,1701894529.956488
partition_radius,23,6,600,901.0765642046815,179.71444969770346,1.6075108051300049,1701894531.56401
partition_st,23,6,600,905.4104304118115,68.82941525869501,0.9343888759613037,1701894532.498404
visibility,23,6,700,900.0561034764067,208.69954211903422,13.233129978179932,1701894545.7315478
partition_optimal,23,6,700,900.2895908398043,186.39200800277013,1.0515658855438232,1701894546.783787
partition_radius,23,6,700,900.2471245638153,188.6400086825328,0.2620539665222168,1701894547.045847
partition_st,23,6,700,905.3911782095873,71.21892274665952,0.8151319026947021,1701894547.860984
visibility,23,6,800,900.0561034764067,208.69954211903422,13.69737195968628,1701894561.558368
partition_optimal,23,6,800,900.2895908398043,186.39200800277013,1.0506019592285156,1701894562.6096032
partition_radius,23,6,800,900.2471245638153,188.6400086825328,0.26102590560913086,1701894562.870635
partition_st,23,6,800,905.3677160249489,73.58030970692016,0.6599149703979492,1701894563.530554
visibility,23,6,900,900.0561034764067,208.69954211903422,14.208861112594604,1701894577.739427
partition_optimal,23,6,900,900.2895908398043,186.39200800277013,1.0551159381866455,1701894578.795179
partition_radius,23,6,900,900.2471245638153,188.6400086825328,0.2622189521789551,1701894579.0574021
partition_st,23,6,900,905.340196419385,75.9574953587192,0.6595408916473389,1701894579.7170439
visibility,23,6,1000,900.0561034764067,208.69954211903422,14.620649099349976,1701894594.337707
partition_optimal,23,6,1000,900.2895908398043,186.39200800277013,1.051664113998413,1701894595.3900108
partition_radius,23,6,1000,900.2471245638153,188.6400086825328,0.26180386543273926,1701894595.651823
partition_st,23,6,1000,905.3088116716907,78.34734008064663,0.6152029037475586,1701894596.267031
visibility,24,6,0,914.5107293394553,96.08356283224677,10.028425931930542,1701894606.296009
partition_optimal,24,6,0,902.516653965047,0.0,0.5527589321136475,1701894606.8492658
partition_radius,24,6,0,902.516653965047,0.0,0.5541131496429443,1701894607.4033852
partition_st,24,6,0,902.516653965047,0.0,0.5539782047271729,1701894607.957369
visibility,24,6,100,900.1399348802936,57.77939424803203,10.3823721408844,1701894618.339751
partition_optimal,24,6,100,901.0656913275241,57.75969514766402,0.8903098106384277,1701894619.230585
partition_radius,24,6,100,900.4897881250656,31.08991512873609,0.5700840950012207,1701894619.800674
partition_st,24,6,100,900.5265184755757,24.876838065022547,0.5609979629516602,1701894620.3616772
visibility,24,6,200,900.1399348802936,57.77939424803203,11.083434104919434,1701894631.445125
partition_optimal,24,6,200,901.0656913275241,57.75969514766402,0.9295186996459961,1701894632.375125
partition_radius,24,6,200,900.20526750489,62.378740645837155,0.7666399478912354,1701894633.141772
partition_st,24,6,200,900.3238007221086,50.05062975286501,0.6920337677001953,1701894633.833813
visibility,24,6,300,900.1399348802936,57.77939424803203,11.717982053756714,1701894645.551808
